Country,Year,Total Exported Value(Crops),Predicted Scaled Value,Mean Error
Myanmar,2020,0.1998846924583072,-0.25280273,0.4526874220649356
Myanmar,2021,0.213175917202149,-0.29188555,0.5050614719926458
Namibia,2019,-0.3728647441060518,0.03318893,0.40605367575001466
Namibia,2020,-0.37617551992375287,-0.32313776,0.05303775976139935
Namibia,2021,-0.36999897988023267,-0.12611534,0.24388364286603437
Nepal,2019,-0.33676670863180524,0.021029677,0.3577963858738459
Nepal,2020,-0.3386943025442475,-0.24274445,0.09594985674346623
Nepal,2021,-0.22661794823037612,-0.05982801,0.16678993877398002
Netherlands (Kingdom of the),2019,5.939054048581564,0.056457717,5.882596331609928
Netherlands (Kingdom of the),2020,6.255720684234793,-0.15256533,6.408286014501746
Netherlands (Kingdom of the),2021,6.807479785352631,-0.117577255,6.925057040124817
New Caledonia,2019,-0.3894484412666218,0.100349635,0.4897980761524098
New Caledonia,2020,-0.38938055396780713,-0.13574377,0.2536367869447206
New Caledonia,2021,-0.3893565394131244,-0.12051685,0.26883968786874424
New Zealand,2019,0.43392389905352874,-0.07901421,0.5129381109466105
New Zealand,2020,0.5254833877863231,-0.26161206,0.7870954454721751
New Zealand,2021,0.5399816637549467,-0.23021683,0.7701984947238035
Nicaragua,2019,-0.2527031527593044,-0.027984463,0.22471869008087192
Nicaragua,2020,-0.2415963254339953,-0.3171219,0.07552556773350041
Nicaragua,2021,-0.21572488807138732,-0.15637828,0.05934660397466948
Niger,2019,-0.36518884405202234,0.09058546,0.4557743068010267
Niger,2020,-0.3821298346832244,-0.19576521,0.18636462250499414
Niger,2021,-0.38214627199593815,-0.049622267,0.33252400451127323
Nigeria,2019,-0.3237000473412608,0.08914378,0.412843830195341
Nigeria,2020,-0.33358721922145645,-0.15556642,0.17802079509006302
Nigeria,2021,-0.3113449420951929,-0.12551022,0.18583472633591558
North Macedonia,2019,-0.31672311108444484,0.066111244,0.38283435534570964
North Macedonia,2020,-0.317583458162529,-0.26504394,0.05253951404212187
North Macedonia,2021,-0.31198929672664033,-0.19264404,0.11934525196975099
Norway,2019,-0.3628830020885051,0.116296366,0.47917936794562943
Norway,2020,-0.3615004171262366,-0.19087964,0.17062077416282717
Norway,2021,-0.35613549890301943,-0.21140431,0.14473119022629977
Oman,2019,-0.20645093913390827,0.19374283,0.40019376571490956
Oman,2020,-0.2534108124251793,-0.24772649,0.00568432729200824
Oman,2021,-0.21763990342007347,-0.11690542,0.10073448240147301
Pakistan,2019,0.23857564474039322,0.016672213,0.2219034321098829
Pakistan,2020,0.1517089369489619,-0.3760174,0.5277263286306331
Pakistan,2021,0.21442622028193511,-0.1669935,0.3814197190841202
Palestine,2019,-0.38070028108337844,0.09962492,0.4803251979945036
Palestine,2020,-0.37998404698996613,-0.20844808,0.1715359647813327
Palestine,2021,-0.3746466086695647,-0.04407592,0.3305706874917006
Panama,2019,-0.33553011813641304,0.106751755,0.4422818730163645
Panama,2020,-0.33348247368625594,-0.23790395,0.09557852108768417
Panama,2021,-0.34225139174952984,-0.1313298,0.21092158709064007
Papua New Guinea,2019,-0.31080415108603393,0.20153011,0.5123342649022953
Papua New Guinea,2020,-0.3042290720610825,-0.12832437,0.17590469750454107
Papua New Guinea,2021,-0.23594805256990561,-0.16458431,0.07136374370721946
Paraguay,2019,-0.16745572210190438,-0.06326218,0.10419354260800026
Paraguay,2020,-0.16455071186773806,-0.41636562,0.25181491160638303
Paraguay,2021,-0.10729470259298893,0.008100234,0.11539493656506153
Peru,2019,0.5093195604840681,0.25131142,0.25800813908972
Peru,2020,0.5968921764524858,-0.21533455,0.8122267259987276
Peru,2021,0.9699373579456344,-0.21847977,1.1884171253873839
Philippines,2019,0.48985952516768966,0.10854873,0.3813107945558885
